,,,,,,,,,,
,Caption,Width,Height,X Coordinate,Y Coordinate,Left%,Top%,Width%,Height%,Notes
Image Size,,2724,1682,,,,,,,
,,,,,,,,,,
EKKLESIA,The People's Assembly,441,439,1142,633,50.02%,50.68%,16.19%,,Center hub — opens Ekklesia bloom
NODE 1,Aegis / Nomothesia,443,441,161,123,14.04%,20.42%,16.26%,,Top-left medallion
NODE 2,Dokimazo / Minotaur,432,431,2137,133,86.38%,20.72%,15.86%,,Top-right medallion
NODE 3,Logo / Nyctimene,433,432,161,1149,13.86%,81.15%,15.90%,,Bottom-left medallion
NODE 4,Passing the Flame,435,435,2134,1146,86.33%,81.06%,15.97%,,Bottom-right medallion
,,,,,,,,,,
Workshop Economy nodes (directional signs) — deferred to post-launch
